epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.201,0.78001,0.52255,1.06236,0.4823,0.61396,0.4906,0.3391,1.57006,1.63061,1.77238,0.000166337,0.000166337,0.0668989
2,348.321,0.71007,0.45292,1.0282,0.47715,0.62741,0.48806,0.33439,1.589,1.63456,1.78379,0.000332101,0.000332101,0.0337313
3,480.758,0.75373,0.49517,1.05522,0.46701,0.61404,0.4781,0.32075,1.65981,1.64288,1.81653,0.000494266,0.000494266,0.000560142
4,611.207,0.74552,0.4884,1.05024,0.48336,0.64116,0.50348,0.34069,1.59909,1.53568,1.78273,0.000487886,0.000487886,0.000487886
5,740.743,0.74078,0.47918,1.04914,0.49859,0.60576,0.49688,0.3398,1.6194,1.54585,1.83791,0.000478603,0.000478603,0.000478603
6,873.525,0.72962,0.46053,1.03934,0.47887,0.61064,0.49822,0.34003,1.58298,1.62259,1.7972,0.000466841,0.000466841,0.000466841
7,1018.23,0.70962,0.45059,1.02842,0.4854,0.62304,0.49358,0.33153,1.65009,1.60638,1.90663,0.000452732,0.000452732,0.000452732
8,1165.63,0.70241,0.4419,1.02517,0.49495,0.58208,0.4947,0.33933,1.62103,1.63083,1.84831,0.000436428,0.000436428,0.000436428
9,1333.17,0.70782,0.44073,1.02277,0.48522,0.62186,0.49255,0.33667,1.61256,1.64732,1.89303,0.00041811,0.00041811,0.00041811
10,1484.82,0.67879,0.42206,1.01856,0.48628,0.61574,0.48698,0.33583,1.61279,1.69925,1.86094,0.000397977,0.000397977,0.000397977
11,1632.57,0.68519,0.42533,1.0226,0.49129,0.61919,0.49983,0.34077,1.60425,1.60429,1.83417,0.00037625,0.00037625,0.00037625
12,1768.7,0.67902,0.41385,1.01897,0.48996,0.6009,0.49188,0.33421,1.63978,1.67881,1.89116,0.000353167,0.000353167,0.000353167
13,1905.94,0.66135,0.40218,1.00128,0.49013,0.60054,0.49692,0.34629,1.58307,1.69743,1.81628,0.000328982,0.000328982,0.000328982
14,2038.78,0.64645,0.39261,1.0021,0.47619,0.6405,0.4928,0.33776,1.61221,1.67283,1.84327,0.000303958,0.000303958,0.000303958
15,2183.97,0.6391,0.38811,0.99366,0.48298,0.61157,0.49879,0.34335,1.58331,1.63503,1.81059,0.000278371,0.000278371,0.000278371
16,2321.36,0.63009,0.37753,0.99513,0.47055,0.63646,0.4868,0.33338,1.61741,1.75633,1.8867,0.0002525,0.0002525,0.0002525
17,2435.84,0.60961,0.36506,0.98179,0.47734,0.61807,0.48695,0.33604,1.60191,1.76182,1.88883,0.000226629,0.000226629,0.000226629
18,2548.61,0.59757,0.35297,0.97037,0.46985,0.62927,0.48919,0.33682,1.60749,1.77055,1.87162,0.000201042,0.000201042,0.000201042
19,2693.82,0.59257,0.3492,0.9714,0.4805,0.63731,0.49659,0.33652,1.6648,1.7296,1.92245,0.000176018,0.000176018,0.000176018
20,2833.3,0.57377,0.33402,0.95921,0.4799,0.6098,0.49197,0.33584,1.64146,1.76512,1.94657,0.000151833,0.000151833,0.000151833
21,3022.82,0.51588,0.268,0.9529,0.4792,0.62467,0.48712,0.33843,1.5656,1.83018,1.89464,0.00012875,0.00012875,0.00012875
22,3183.35,0.48369,0.25136,0.93652,0.48311,0.61506,0.49537,0.34033,1.60246,1.82157,1.93179,0.000107023,0.000107023,0.000107023
23,3331.61,0.4697,0.23894,0.92624,0.48425,0.60782,0.48952,0.33807,1.60438,1.85648,1.92295,8.68902e-05,8.68902e-05,8.68902e-05
24,3476.24,0.46134,0.23651,0.92146,0.48255,0.60696,0.49381,0.3415,1.59953,1.84448,1.94683,6.85717e-05,6.85717e-05,6.85717e-05
25,3620.76,0.44598,0.22738,0.91518,0.48159,0.60862,0.48874,0.33688,1.62786,1.87135,1.97509,5.22683e-05,5.22683e-05,5.22683e-05
26,3809.61,0.43624,0.22047,0.90511,0.48419,0.59702,0.49157,0.34037,1.60497,1.89491,1.9662,3.81587e-05,3.81587e-05,3.81587e-05
27,3977.77,0.42933,0.21674,0.90119,0.481,0.61171,0.49097,0.34217,1.58511,1.91397,1.95324,2.63975e-05,2.63975e-05,2.63975e-05
28,4094.1,0.42714,0.21771,0.90713,0.48234,0.60677,0.49102,0.34088,1.60295,1.91092,1.96915,1.71135e-05,1.71135e-05,1.71135e-05
